Customer ID,Customer Name,Segment,Country,City,State,Postal Code,Region
EX-AVLA-CO-MI-55407,Alex Avila,Consumer,United States,Minneapolis,Minnesota,55407,Central
EX-AVLA-CO-RO-78664,Alex Avila,Consumer,United States,Round Rock,Texas,78664,Central
EX-AVLA-CO-NE-10011,Alex Avila,Consumer,United States,New York City,New York,10011,East
EX-AVLA-CO-SA-94109,Alex Avila,Consumer,United States,San Francisco,California,94109,West
EX-AVLA-CO-SA-94122,Alex Avila,Consumer,United States,San Francisco,California,94122,West
EN-ARLD-CO-OM-68104,Allen Armold,Consumer,United States,Omaha,Nebraska,68104,Central
EN-ARLD-CO-NE-10035,Allen Armold,Consumer,United States,New York City,New York,10035,East
EN-ARLD-CO-PR-2908,Allen Armold,Consumer,United States,Providence,Rhode Island,2908,East
EN-ARLD-CO-AT-30318,Allen Armold,Consumer,United States,Atlanta,Georgia,30318,South
EN-ARLD-CO-LE-37087,Allen Armold,Consumer,United States,Lebanon,Tennessee,37087,South
EN-ARLD-CO-ME-85204,Allen Armold,Consumer,United States,Mesa,Arizona,85204,West
EN-ARLD-CO-LO-90008,Allen Armold,Consumer,United States,Los Angeles,California,90008,West
EN-ARLD-CO-SA-97301,Allen Armold,Consumer,United States,Salem,Oregon,97301,West
EN-ARLD-CO-RA-91730,Allen Armold,Consumer,United States,Rancho Cucamonga,California,91730,West
EW-ALEN-CO-SP-65807,Andrew Allen,Consumer,United States,Springfield,Missouri,65807,Central
EW-ALEN-CO-DE-48234,Andrew Allen,Consumer,United States,Detroit,Michigan,48234,Central
EW-ALEN-CO-MI-6457,Andrew Allen,Consumer,United States,Middletown,Connecticut,6457,East
EW-ALEN-CO-CO-28027,Andrew Allen,Consumer,United States,Concord,North Carolina,28027,South
NA-ANDI-CO-OK-73120,Anna Andreadi,Consumer,United States,Oklahoma City,Oklahoma,73120,Central
NA-ANDI-CO-CH-19013,Anna Andreadi,Consumer,United States,Chester,Pennsylvania,19013,East
NA-ANDI-CO-LO-1852,Anna Andreadi,Consumer,United States,Lowell,Massachusetts,1852,East
NA-ANDI-CO-GE-40324,Anna Andreadi,Consumer,United States,Georgetown,Kentucky,40324,South
NA-ANDI-CO-SA-94109,Anna Andreadi,Consumer,United States,San Francisco,California,94109,West
NA-ANDI-CO-SA-92105,Anna Andreadi,Consumer,United States,San Diego,California,92105,West
ON-BEAN-CO-AR-76017,Aaron Bergman,Consumer,United States,Arlington,Texas,76017,Central
ON-BEAN-CO-OK-73120,Aaron Bergman,Consumer,United States,Oklahoma City,Oklahoma,73120,Central
ON-BEAN-CO-SE-98103,Aaron Bergman,Consumer,United States,Seattle,Washington,98103,West
AM-BECE-HO-GR-46142,Adam Bellavance,Home Office,United States,Greenwood,Indiana,46142,Central
AM-BECE-HO-NE-10009,Adam Bellavance,Home Office,United States,New York City,New York,10009,East
AM-BECE-HO-CO-3301,Adam Bellavance,Home Office,United States,Concord,New Hampshire,3301,East
AM-BECE-HO-PH-19143,Adam Bellavance,Home Office,United States,Philadelphia,Pennsylvania,19143,East
AM-BECE-HO-WA-22980,Adam Bellavance,Home Office,United States,Waynesboro,Virginia,22980,South
AM-BECE-HO-LO-90004,Adam Bellavance,Home Office,United States,Los Angeles,California,90004,West
AM-BECE-HO-DE-98198,Adam Bellavance,Home Office,United States,Des Moines,Washington,98198,West
AM-BECE-HO-SE-98105,Adam Bellavance,Home Office,United States,Seattle,Washington,98105,West
AN-BAON-CO-PE-77581,Adrian Barton,Consumer,United States,Pearland,Texas,77581,Central
AN-BAON-CO-IN-46203,Adrian Barton,Consumer,United States,Indianapolis,Indiana,46203,Central
AN-BAON-CO-DE-48205,Adrian Barton,Consumer,United States,Detroit,Michigan,48205,Central
AN-BAON-CO-HO-77041,Adrian Barton,Consumer,United States,Houston,Texas,77041,Central
AN-BAON-CO-BL-61701,Adrian Barton,Consumer,United States,Bloomington,Illinois,61701,Central
AN-BAON-CO-NE-10011,Adrian Barton,Consumer,United States,New York City,New York,10011,East
AN-BAON-CO-HE-42420,Adrian Barton,Consumer,United States,Henderson,Kentucky,42420,South
AN-BAON-CO-PH-85023,Adrian Barton,Consumer,United States,Phoenix,Arizona,85023,West
AN-BAON-CO-PO-97206,Adrian Barton,Consumer,United States,Portland,Oregon,97206,West
EE-BIBY-CO-CA-75007,Aimee Bixby,Consumer,United States,Carrollton,Texas,75007,Central
EE-BIBY-CO-TU-74133,Aimee Bixby,Consumer,United States,Tulsa,Oklahoma,74133,Central
EE-BIBY-CO-DA-75220,Aimee Bixby,Consumer,United States,Dallas,Texas,75220,Central
EE-BIBY-CO-LO-11561,Aimee Bixby,Consumer,United States,Long Beach,New York,11561,East
EE-BIBY-CO-YO-10701,Aimee Bixby,Consumer,United States,Yonkers,New York,10701,East
AN-BAES-CO-DE-62521,Alan Barnes,Consumer,United States,Decatur,Illinois,62521,Central
AN-BAES-CO-TO-43615,Alan Barnes,Consumer,United States,Toledo,Ohio,43615,East
AN-BAES-CO-LE-37087,Alan Barnes,Consumer,United States,Lebanon,Tennessee,37087,South
AN-BAES-CO-LO-90036,Alan Barnes,Consumer,United States,Los Angeles,California,90036,West
AN-BAES-CO-BE-98006,Alan Barnes,Consumer,United States,Bellevue,Washington,98006,West
AN-BAES-CO-LO-90045,Alan Barnes,Consumer,United States,Los Angeles,California,90045,West
AN-BAES-CO-LO-80027,Alan Barnes,Consumer,United States,Louisville,Colorado,80027,West
AN-BAES-CO-LA-90712,Alan Barnes,Consumer,United States,Lakewood,California,90712,West
RO-BANE-HO-PL-75023,Alejandro Ballentine,Home Office,United States,Plano,Texas,75023,Central
RO-BANE-HO-LO-44052,Alejandro Ballentine,Home Office,United States,Lorain,Ohio,44052,East
RO-BANE-HO-PH-19134,Alejandro Ballentine,Home Office,United States,Philadelphia,Pennsylvania,19134,East
RO-BANE-HO-NE-10009,Alejandro Ballentine,Home Office,United States,New York City,New York,10009,East
RO-BANE-HO-JA-39212,Alejandro Ballentine,Home Office,United States,Jackson,Mississippi,39212,South
RO-BANE-HO-CA-88220,Alejandro Ballentine,Home Office,United States,Carlsbad,New Mexico,88220,West
RO-BANE-HO-LO-90036,Alejandro Ballentine,Home Office,United States,Los Angeles,California,90036,West
RO-BANE-HO-SE-98103,Alejandro Ballentine,Home Office,United States,Seattle,Washington,98103,West
RO-BANE-HO-LO-90008,Alejandro Ballentine,Home Office,United States,Los Angeles,California,90008,West
NN-BLME-CO-CH-60623,Ann Blume,Corporate,United States,Chicago,Illinois,60623,Central
NN-BLME-CO-JA-28540,Ann Blume,Corporate,United States,Jacksonville,North Carolina,28540,South
NN-BLME-CO-TU-85705,Ann Blume,Corporate,United States,Tucson,Arizona,85705,West
NN-BLME-CO-LO-90004,Ann Blume,Corporate,United States,Los Angeles,California,90004,West
SA-CRSE-CO-HO-77041,Alyssa Crouse,Corporate,United States,Houston,Texas,77041,Central
SA-CRSE-CO-PH-19120,Alyssa Crouse,Corporate,United States,Philadelphia,Pennsylvania,19120,East
SA-CRSE-CO-SA-94122,Alyssa Crouse,Corporate,United States,San Francisco,California,94122,West
MY-COOX-CO-MI-55407,Amy Cox,Consumer,United States,Minneapolis,Minnesota,55407,Central
